0_images_name,0_labels,1_images_name,1_labels,2_images_name,2_labels,3_images_name,3_labels,4_images_name,4_labels
ISIC_0029157,,ISIC_0027076,,ISIC_0029913,,ISIC_0032430,,ISIC_0033477,
ISIC_0033186,,ISIC_0032462,,ISIC_0030246,,ISIC_0028156,,ISIC_0033524,
ISIC_0025573,,ISIC_0032940,,ISIC_0032806,,ISIC_0026652,,ISIC_0033520,
ISIC_0033103,,ISIC_0032265,,ISIC_0032965,,ISIC_0033073,,ISIC_0034048,
ISIC_0033323,,ISIC_0024310,,ISIC_0025391,,ISIC_0025524,,ISIC_0033393,
ISIC_0027517,,ISIC_0029652,,ISIC_0024624,,ISIC_0030507,,ISIC_0034317,
ISIC_0028520,,ISIC_0032598,,ISIC_0032559,,ISIC_0027956,,ISIC_0034107,
ISIC_0029859,,ISIC_0025188,,ISIC_0033232,,ISIC_0027306,,ISIC_0034000,
ISIC_0030898,,ISIC_0026105,,ISIC_0024823,,ISIC_0029571,,ISIC_0033981,
ISIC_0030995,,ISIC_0024537,,ISIC_0030784,,ISIC_0032970,,ISIC_0034183,
ISIC_0027149,,ISIC_0029512,,ISIC_0028696,,ISIC_0027174,,ISIC_0033953,
ISIC_0033117,,ISIC_0028666,,ISIC_0024496,,ISIC_0027071,,ISIC_0033871,
ISIC_0030391,,ISIC_0026314,,ISIC_0027125,,ISIC_0032408,,ISIC_0034284,
ISIC_0027669,,ISIC_0026045,,ISIC_0031711,,ISIC_0031958,,ISIC_0033713,
ISIC_0027702,,ISIC_0026868,,ISIC_0032875,,ISIC_0025303,,ISIC_0034159,
ISIC_0032214,,ISIC_0032774,,ISIC_0032938,,ISIC_0028033,,ISIC_0033883,
ISIC_0030818,,ISIC_0029480,,ISIC_0032592,,ISIC_0030417,,ISIC_0033616,
ISIC_0025512,,ISIC_0024932,,ISIC_0026870,,ISIC_0030951,,ISIC_0033333,
ISIC_0032532,,ISIC_0029744,,ISIC_0032046,,ISIC_0027030,,ISIC_0033431,
ISIC_0033152,,ISIC_0026236,,ISIC_0032072,,ISIC_0024644,,ISIC_0034076,
ISIC_0025324,,ISIC_0029089,,ISIC_0032079,,ISIC_0026266,,ISIC_0033814,
ISIC_0033317,,ISIC_0030277,,ISIC_0027043,,ISIC_0028173,,ISIC_0033779,
ISIC_0031177,,ISIC_0026506,,ISIC_0026993,,ISIC_0033238,,ISIC_0033874,
ISIC_0032856,,ISIC_0028847,,ISIC_0028075,,ISIC_0025238,,ISIC_0033986,
ISIC_0027238,,ISIC_0028929,,ISIC_0032892,,ISIC_0030925,,ISIC_0033496,
ISIC_0026909,,ISIC_0026690,,ISIC_0024918,,ISIC_0024313,,ISIC_0033805,
ISIC_0031401,,ISIC_0026604,,ISIC_0029319,,ISIC_0029092,,ISIC_0033636,
ISIC_0032903,,ISIC_0024679,,ISIC_0030798,,ISIC_0030034,,ISIC_0033473,
ISIC_0033017,,ISIC_0027769,,ISIC_0030165,,ISIC_0031025,,ISIC_0034120,
