0_images_name,0_labels,1_images_name,1_labels,2_images_name,2_labels,3_images_name,3_labels,4_images_name,4_labels
ISIC_0029157,0.0,ISIC_0027076,0.0,ISIC_0029913,0.0,ISIC_0032430,0.0,ISIC_0033477,0.0
ISIC_0033186,0.0,ISIC_0032462,0.0,ISIC_0030246,0.0,ISIC_0028156,0.0,ISIC_0033524,0.0
ISIC_0025573,0.0,ISIC_0032940,0.0,ISIC_0032806,0.0,ISIC_0026652,0.0,ISIC_0033520,0.0
ISIC_0033103,0.0,ISIC_0032265,0.0,ISIC_0032965,0.0,ISIC_0033073,0.0,ISIC_0034048,0.0
ISIC_0033323,0.0,ISIC_0024310,0.0,ISIC_0025391,0.0,ISIC_0025524,0.0,ISIC_0033393,0.0
ISIC_0027517,0.0,ISIC_0029652,0.0,ISIC_0024624,0.0,ISIC_0030507,0.0,ISIC_0034317,0.0
ISIC_0028520,0.0,ISIC_0032598,0.0,ISIC_0032559,0.0,ISIC_0027956,0.0,ISIC_0034107,0.0
ISIC_0029859,0.0,ISIC_0025188,0.0,ISIC_0033232,0.0,ISIC_0027306,0.0,ISIC_0034000,0.0
ISIC_0030898,0.0,ISIC_0026105,0.0,ISIC_0024823,0.0,ISIC_0029571,0.0,ISIC_0033981,0.0
ISIC_0030995,0.0,ISIC_0024537,0.0,ISIC_0030784,0.0,ISIC_0032970,0.0,ISIC_0034183,0.0
ISIC_0027149,0.0,ISIC_0029512,0.0,ISIC_0028696,0.0,ISIC_0027174,0.0,ISIC_0033953,0.0
ISIC_0033117,0.0,ISIC_0028666,0.0,ISIC_0024496,0.0,ISIC_0027071,0.0,ISIC_0033871,0.0
ISIC_0030391,0.0,ISIC_0026314,0.0,ISIC_0027125,0.0,ISIC_0032408,0.0,ISIC_0034284,0.0
ISIC_0027669,0.0,ISIC_0026045,0.0,ISIC_0031711,0.0,ISIC_0031958,0.0,ISIC_0033713,0.0
ISIC_0027702,0.0,ISIC_0026868,0.0,ISIC_0032875,0.0,ISIC_0025303,0.0,ISIC_0034159,0.0
ISIC_0032214,0.0,ISIC_0032774,0.0,ISIC_0032938,0.0,ISIC_0028033,0.0,ISIC_0033883,0.0
ISIC_0030818,0.0,ISIC_0029480,0.0,ISIC_0032592,0.0,ISIC_0030417,0.0,ISIC_0033616,0.0
ISIC_0025512,0.0,ISIC_0024932,0.0,ISIC_0026870,0.0,ISIC_0030951,0.0,ISIC_0033333,0.0
ISIC_0032532,0.0,ISIC_0029744,0.0,ISIC_0032046,0.0,ISIC_0027030,0.0,ISIC_0033431,0.0
ISIC_0033152,0.0,ISIC_0026236,0.0,ISIC_0032072,0.0,ISIC_0024644,0.0,ISIC_0034076,0.0
ISIC_0025324,0.0,ISIC_0029089,0.0,ISIC_0032079,0.0,ISIC_0026266,0.0,ISIC_0033814,0.0
ISIC_0033317,0.0,ISIC_0030277,0.0,ISIC_0027043,0.0,ISIC_0028173,0.0,ISIC_0033779,0.0
ISIC_0031177,0.0,ISIC_0026506,0.0,ISIC_0026993,0.0,ISIC_0033238,0.0,ISIC_0033874,0.0
ISIC_0032856,0.0,ISIC_0028847,0.0,ISIC_0028075,0.0,ISIC_0025238,0.0,ISIC_0033986,0.0
ISIC_0027238,0.0,ISIC_0028929,0.0,ISIC_0032892,0.0,ISIC_0030925,0.0,ISIC_0033496,0.0
ISIC_0026909,0.0,ISIC_0026690,0.0,ISIC_0024918,0.0,ISIC_0024313,0.0,ISIC_0033805,0.0
ISIC_0031401,0.0,ISIC_0026604,0.0,ISIC_0029319,0.0,ISIC_0029092,0.0,ISIC_0033636,0.0
ISIC_0032903,0.0,ISIC_0024679,0.0,ISIC_0030798,0.0,ISIC_0030034,0.0,ISIC_0033473,0.0
ISIC_0033017,0.0,ISIC_0027769,0.0,ISIC_0030165,0.0,ISIC_0031025,0.0,ISIC_0034120,0.0
ISIC_0030828,0.0,ISIC_0033206,0.0,ISIC_0026268,0.0,ISIC_0025316,0.0,ISIC_0033886,0.0
ISIC_0029698,0.0,ISIC_0029570,0.0,ISIC_0026167,0.0,ISIC_0030014,0.0,ISIC_0033522,0.0
ISIC_0027442,0.0,ISIC_0025783,0.0,ISIC_0028519,0.0,ISIC_0032258,0.0,ISIC_0033479,0.0
ISIC_0025964,0.0,ISIC_0029209,0.0,ISIC_0031023,0.0,ISIC_0029170,0.0,ISIC_0034140,0.0
ISIC_0025472,0.0,ISIC_0025616,0.0,ISIC_0024952,0.0,ISIC_0033037,0.0,ISIC_0033392,0.0
ISIC_0025996,0.0,ISIC_0031709,0.0,ISIC_0028481,0.0,ISIC_0032982,0.0,ISIC_0033638,0.0
ISIC_0032596,0.0,ISIC_0027204,0.0,ISIC_0024756,0.0,ISIC_0024999,0.0,ISIC_0033967,0.0
ISIC_0032841,0.0,ISIC_0030134,0.0,ISIC_0030689,0.0,ISIC_0032733,0.0,ISIC_0033387,0.0
ISIC_0029933,0.0,ISIC_0026647,0.0,ISIC_0029397,0.0,ISIC_0031377,0.0,ISIC_0033607,0.0
ISIC_0030382,0.0,ISIC_0025234,0.0,ISIC_0027021,0.0,ISIC_0024552,0.0,ISIC_0033905,0.0
ISIC_0032624,0.0,ISIC_0027900,0.0,ISIC_0029843,0.0,ISIC_0028764,0.0,ISIC_0033893,0.0
ISIC_0025751,0.0,ISIC_0031545,0.0,ISIC_0032232,0.0,ISIC_0031529,0.0,ISIC_0033708,0.0
ISIC_0032925,0.0,ISIC_0024732,0.0,ISIC_0027100,0.0,ISIC_0030356,0.0,ISIC_0033593,0.0
ISIC_0024351,0.0,ISIC_0032544,0.0,ISIC_0029343,0.0,ISIC_0031077,0.0,ISIC_0033902,0.0
ISIC_0027101,0.0,ISIC_0026811,0.0,ISIC_0027507,0.0,ISIC_0030089,0.0,ISIC_0033337,0.0
ISIC_0033074,0.0,ISIC_0029281,0.0,ISIC_0025755,0.0,ISIC_0030107,0.0,ISIC_0034188,0.0
ISIC_0024967,0.0,ISIC_0033239,0.0,ISIC_0028148,0.0,ISIC_0027130,0.0,ISIC_0033498,0.0
ISIC_0026094,0.0,ISIC_0032723,0.0,ISIC_0033063,0.0,ISIC_0026158,0.0,ISIC_0034173,0.0
ISIC_0029495,0.0,ISIC_0029839,0.0,ISIC_0025317,0.0,ISIC_0029914,0.0,ISIC_0033485,0.0
ISIC_0033171,0.0,ISIC_0033129,0.0,ISIC_0027327,0.0,ISIC_0027436,0.0,ISIC_0034233,0.0
ISIC_0033310,0.0,ISIC_0024767,0.0,ISIC_0024586,0.0,ISIC_0033204,0.0,ISIC_0033938,0.0
ISIC_0026150,0.0,ISIC_0032396,0.0,ISIC_0025724,0.0,ISIC_0029884,0.0,ISIC_0034256,0.0
ISIC_0032687,0.0,ISIC_0032070,0.0,ISIC_0028860,0.0,ISIC_0025651,0.0,ISIC_0033670,0.0
ISIC_0032630,0.0,ISIC_0033125,0.0,ISIC_0028493,0.0,ISIC_0029216,0.0,ISIC_0033452,0.0
ISIC_0031779,0.0,ISIC_0029212,0.0,ISIC_0032810,0.0,ISIC_0029013,0.0,ISIC_0034316,0.0
ISIC_0029705,0.0,ISIC_0029958,0.0,ISIC_0025248,0.0,ISIC_0026694,0.0,ISIC_0034068,0.0
ISIC_0024972,0.0,ISIC_0024459,0.0,ISIC_0028508,0.0,ISIC_0029630,0.0,ISIC_0033687,0.0
ISIC_0033278,0.0,ISIC_0028930,0.0,ISIC_0030281,0.0,ISIC_0033061,0.0,ISIC_0033526,0.0
ISIC_0033196,0.0,ISIC_0032517,0.0,ISIC_0032847,0.0,ISIC_0026976,0.0,ISIC_0034263,0.0
ISIC_0032134,0.0,ISIC_0025832,0.0,ISIC_0028220,0.0,ISIC_0028225,0.0,ISIC_0033678,0.0
ISIC_0030539,0.0,ISIC_0032019,0.0,ISIC_0028127,0.0,ISIC_0028505,0.0,ISIC_0034100,0.0
ISIC_0033324,0.0,ISIC_0026738,0.0,ISIC_0026258,0.0,ISIC_0030150,0.0,ISIC_0033476,0.0
ISIC_0031778,0.0,ISIC_0032716,0.0,ISIC_0032872,0.0,ISIC_0028567,0.0,ISIC_0033630,0.0
ISIC_0031406,0.0,ISIC_0026745,0.0,ISIC_0033279,0.0,ISIC_0033267,0.0,ISIC_0034052,0.0
ISIC_0031745,0.0,ISIC_0032873,0.0,ISIC_0032245,0.0,ISIC_0028777,0.0,ISIC_0034243,0.0
ISIC_0024700,0.0,ISIC_0024525,0.0,ISIC_0032433,0.0,ISIC_0030110,0.0,ISIC_0034050,0.0
ISIC_0027721,0.0,ISIC_0032308,0.0,ISIC_0028773,0.0,ISIC_0033193,0.0,ISIC_0033999,0.0
ISIC_0028916,0.0,ISIC_0030824,0.0,ISIC_0029094,0.0,ISIC_0032248,0.0,ISIC_0033804,0.0
ISIC_0027179,0.0,ISIC_0031233,0.0,ISIC_0025611,0.0,ISIC_0030360,0.0,ISIC_0034134,0.0
ISIC_0028685,0.0,ISIC_0032081,0.0,ISIC_0029056,0.0,ISIC_0032190,0.0,ISIC_0033730,0.0
ISIC_0028361,0.0,ISIC_0030106,0.0,ISIC_0025097,0.0,ISIC_0026239,0.0,ISIC_0034071,0.0
ISIC_0026697,0.0,ISIC_0033261,0.0,ISIC_0031795,0.0,ISIC_0028026,0.0,ISIC_0033534,0.0
ISIC_0032602,0.0,ISIC_0028465,0.0,ISIC_0032844,0.0,ISIC_0032450,0.0,ISIC_0034180,0.0
